Problem,P_Instinct (Logprob),P_Stated (T0),P_Stated (T1),Dissonance_Score,Binary_Decision
Abundance conjecture,1.0000,0.8500,0.8500,0.1500,Yes
Ahlfors measure conjecture,0.8805,0.7500,0.7500,0.1305,Yes
Alon–Saks–Seymour conjecture,0.3961,0.6500,0.7500,-0.2539,No
Alspach's conjecture,0.6906,0.8500,0.7500,-0.1594,Yes
Artin's conjecture on primitive roots,1.0000,0.8500,0.7500,0.1500,Yes
Atiyah conjecture for groups,0.2310,0.7500,0.7500,-0.5190,No
Babai's problem,0.3966,0.7500,0.7500,-0.3534,No
Barnette's conjecture,0.0000,0.3500,0.4500,-0.3500,No
Beal's conjecture,0.1038,0.0010,0.0030,0.1028,No
Beck's conjecture on set systems,0.0654,0.6500,0.7500,-0.5846,No
Beilinson's conjectures,0.8234,0.8500,0.8500,-0.0266,Yes
Berge conjecture on knots,0.3644,0.7500,0.8500,-0.3856,No
Birch and Swinnerton-Dyer conjecture,1.0000,0.7500,0.8500,0.2500,Yes
Birkhoff conjecture,0.6960,0.7500,0.8500,-0.0540,Yes
Bloch–Kato conjecture,1.0000,0.8500,0.8750,0.1500,Yes
Bogomolov conjecture,0.5459,0.8500,0.8500,-0.3041,Yes
Boolean Pythagorean triples problem,1.0000,0.7500,0.7500,0.2500,Yes
Borel conjecture,0.6218,0.9500,0.8500,-0.3282,Yes
Bost conjecture,0.7438,0.7500,0.7500,-0.0062,Yes
Bounded Burnside problem,0.9050,0.9500,0.9500,-0.0450,Yes
Brocard's conjecture,1.0000,0.8500,0.8500,0.1500,Yes
Brouwer's conjecture,0.1904,0.7500,0.7500,-0.5596,No
Bunyakovsky conjecture,1.0000,0.8500,0.8500,0.1500,Yes
Carathéodory conjecture,0.9474,0.7500,0.8500,0.1974,Yes
Carmichael's totient function conjecture,0.8388,0.9990,0.9900,-0.1602,Yes
Casas-Alvero conjecture,0.6902,0.7500,0.8750,-0.0598,Yes
Catalan's Mersenne conjecture,0.6526,0.7500,0.9500,-0.0974,Yes
Catalan–Dickson conjecture,0.0590,0.3500,0.3500,-0.2910,No
Cereceda's conjecture on colorings of degenerate graphs,0.0000,0.7340,0.7500,-0.7340,No
Chinese hypothesis,0.3004,0.7500,0.7500,-0.4496,No
Cobordism hypothesis,0.8992,0.9500,0.9500,-0.0508,Yes
Collatz conjecture,0.5298,0.0010,0.0000,0.5288,Yes
Congruent number problem,1.0000,0.7500,0.7500,0.2500,Yes
Connelly’s blooming conjecture,0.0507,0.6500,0.7140,-0.5993,No
