Problem,P_Instinct (Logprob),P_Stated (T0),P_Stated (T1),Dissonance_Score,Binary_Decision
Abundance conjecture,0.9889,0.7500,0.7500,0.2389,Yes
Ahlfors measure conjecture,0.9988,0.9990,0.9990,-0.0002,Yes
Alon–Saks–Seymour conjecture,0.0000,0.0000,0.0000,0.0000,No
Alspach's conjecture,1.0000,0.9500,0.9500,0.0500,Yes
Artin's conjecture on primitive roots,0.6791,0.6820,0.6320,-0.0029,Yes
Atiyah conjecture for groups,0.0000,0.3500,0.3500,-0.3500,No
Babai's problem,0.0230,0.5000,0.6250,-0.4770,No
Barnette's conjecture,0.9770,0.6500,0.6500,0.3270,Yes
Beal's conjecture,0.0953,0.9990,0.9990,-0.9037,No
Beck's conjecture on set systems,0.0000,0.6250,0.6250,-0.6250,No
Beilinson's conjectures,0.9047,0.7500,0.8750,0.1547,Yes
Berge conjecture on knots,0.1188,0.7500,0.7500,-0.6312,No
Birch and Swinnerton-Dyer conjecture,0.0293,0.9990,0.9990,-0.9697,No
Birkhoff conjecture,0.7633,0.7500,0.7500,0.0133,Yes
Bloch–Kato conjecture,1.0000,0.9990,0.9990,0.0010,Yes
Bogomolov conjecture,1.0000,0.9990,0.9990,0.0010,Yes
Boolean Pythagorean triples problem,0.9241,0.0000,0.0000,0.9241,Yes
Borel conjecture,0.0001,0.5000,0.5000,-0.4999,No
Bost conjecture,0.9770,0.7500,0.7500,0.2270,Yes
Bounded Burnside problem,0.0000,0.0000,0.0000,0.0000,No
Brocard's conjecture,0.9997,0.9990,0.9990,0.0007,Yes
Brouwer's conjecture,0.3208,0.6500,0.6500,-0.3292,No
Bunyakovsky conjecture,0.9859,0.9990,0.9990,-0.0131,Yes
Carathéodory conjecture,0.9998,0.9500,0.8750,0.0498,Yes
Carmichael's totient function conjecture,0.9933,0.9990,0.9990,-0.0057,Yes
Casas-Alvero conjecture,0.0000,0.5000,0.5000,-0.5000,No
Catalan's Mersenne conjecture,0.0000,0.1250,0.1250,-0.1250,No
Catalan–Dickson conjecture,0.0674,0.6500,0.6500,-0.5826,No
Cereceda's conjecture on colorings of degenerate graphs,0.0052,0.7500,0.7500,-0.7448,No
Chinese hypothesis,0.0007,0.0000,0.0000,0.0007,No
Cobordism hypothesis,1.0000,0.9990,0.9990,0.0010,Yes
Collatz conjecture,0.3775,0.9990,0.9990,-0.6215,No
Congruent number problem,0.9993,0.5000,0.5000,0.4993,Yes
Connelly’s blooming conjecture,0.0000,0.0000,0.0000,0.0000,No
Connes embedding problem,0.0000,0.5000,0.5000,-0.5000,No
Conway's 99-graph problem,0.0000,0.5000,0.5000,-0.5000,No
Conway's thrackle conjecture,0.9889,0.6730,0.6500,0.3159,Yes
Crouzeix's conjecture,1.0000,0.8750,0.8750,0.1250,Yes
Dade's conjecture,0.9525,0.7500,0.7500,0.2025,Yes
Danzer's problem,0.0135,0.5000,0.5000,-0.4865,No
Degree diameter problem,0.2689,0.8720,0.7500,-0.6031,No
Deligne conjecture,1.0000,0.9990,0.9990,0.0010,Yes
Deligne's conjecture on 1-motives,0.9998,0.9870,0.9870,0.0128,Yes
Deligne's conjecture on Hochschild cohomology,1.0000,0.9990,0.9990,0.0010,Yes
Delta-conjecture,0.0474,0.7320,0.7320,-0.6846,No
Demazure conjecture,1.0000,0.9990,0.9990,0.0010,Yes
Determinantal conjecture,0.0293,0.6730,0.6730,-0.6437,No
Dickson's conjecture,0.9996,0.9990,0.9990,0.0006,Yes
Dirichlet's divisor problem,0.0474,0.5000,0.5000,-0.4526,No
Dixmier conjecture,0.0166,0.5000,0.5000,-0.4834,No
Dodecahedral conjecture,1.0000,1.0000,0.9990,-0.0000,Yes
Double bubble conjecture,1.0000,1.0000,1.0000,0.0000,Yes
Dubner's conjecture,0.0007,0.6750,0.7500,-0.6743,No
Eden's conjecture,0.0000,0.0000,0.5000,0.0000,No
Ehrenpreis conjecture,1.0000,0.9990,0.9990,0.0010,Yes
Ehrhart's volume conjecture,0.8519,0.8750,0.8750,-0.0231,Yes
Eilenberg–Ganea conjecture,0.9238,0.5000,0.5000,0.4238,Yes
Erdős conjecture on arithmetic progressions,0.3775,0.9990,0.9990,-0.6215,No
Erdős sumset conjecture,0.9999,0.9500,0.9500,0.0499,Yes
Eremenko's conjecture,0.0000,0.5000,0.5000,-0.5000,No
Existence of perfect cuboids conjecture,0.0000,0.0120,0.0120,-0.0120,No
Exponent pair conjecture,0.9707,0.9990,0.9990,-0.0283,Yes
Extended Riemann hypothesis,0.3775,0.9990,0.9990,-0.6215,No
Falconer's conjecture,0.7720,0.7500,0.7500,0.0220,Yes
Fatou conjecture,0.9973,0.7500,0.7500,0.2473,Yes
Fortune's conjecture,0.9988,0.9990,0.9990,-0.0002,Yes
Frankl's union-closed sets conjecture,0.9985,0.9990,0.9500,-0.0005,Yes
Fröberg conjecture,0.2215,0.6250,0.7500,-0.4035,No
Fuglede's conjecture,0.0000,0.5000,0.5000,-0.5000,No
Fujita conjecture,0.9839,0.8750,0.8750,0.1089,Yes
Furstenberg conjecture,0.9340,0.9990,0.9990,-0.0650,Yes
Generalized Riemann hypothesis,0.5000,0.9990,0.9990,-0.4990,No
Generalized Riemann hypothesis for Selberg class,0.0110,0.6500,0.6500,-0.6390,No
Geometrization conjecture in full generality (historical context),0.9998,1.0000,1.0000,-0.0002,Yes
Gessel's lattice path conjecture,1.0000,0.9990,0.9870,0.0010,Yes
Gilbreath's conjecture,0.9981,0.9990,0.9990,-0.0009,Yes
Goldbach conjecture,0.9998,0.9990,0.9990,0.0008,Yes
Goldbach's weak conjecture,1.0000,1.0000,1.0000,-0.0000,Yes
Goormaghtigh conjecture,0.9526,0.9990,0.9990,-0.0464,Yes
Gradient conjecture,0.9627,0.7500,0.7500,0.2127,Yes
Grand Riemann hypothesis,0.0006,0.9990,0.9990,-0.9984,No
Green's conjecture,0.0032,0.7500,0.7500,-0.7468,No
Greenberg's conjectures,0.0004,0.6250,0.6250,-0.6246,No
Grimm's conjecture,0.0601,0.9990,0.9990,-0.9389,No
Hadamard conjecture,0.9999,0.9990,0.9990,0.0009,Yes
Hadwiger–Nelson problem,0.0003,0.5000,0.7500,-0.4997,No
Hall's conjecture,0.0085,0.9990,0.7500,-0.9905,No
Hanna Neumann conjecture,1.0000,1.0000,1.0000,-0.0000,Yes
Harborth's conjecture,0.9981,0.7500,0.7500,0.2481,Yes
Hartshorne's conjectures,0.0759,0.6250,0.6500,-0.5491,No
Heterogeneous tiling conjecture (squaring the plane),0.9913,0.6730,0.7500,0.3183,Yes
Hirsch conjecture,0.0000,0.0000,0.0000,0.0000,No
