Layer: model.layers.0.self_attn.q_proj          | Rank: 1024/1024
Layer: model.layers.0.self_attn.k_proj          | Rank: 945/1024
Layer: model.layers.0.self_attn.v_proj          | Rank: 1007/1024
Layer: model.layers.0.self_attn.o_proj          | Rank: 1024/1024
Layer: model.layers.0.mlp.gate_proj             | Rank: 1024/1024
Layer: model.layers.0.mlp.up_proj               | Rank: 1024/1024
Layer: model.layers.0.mlp.down_proj             | Rank: 1024/1024
Layer: model.layers.1.self_attn.q_proj          | Rank: 1024/1024
Layer: model.layers.1.self_attn.k_proj          | Rank: 979/1024
Layer: model.layers.1.self_attn.v_proj          | Rank: 1002/1024
Layer: model.layers.1.self_attn.o_proj          | Rank: 1024/1024
Layer: model.layers.1.mlp.gate_proj             | Rank: 1024/1024
Layer: model.layers.1.mlp.up_proj               | Rank: 1024/1024
Layer: model.layers.1.mlp.down_proj             | Rank: 1024/1024
Layer: model.layers.2.self_attn.q_proj          | Rank: 1024/1024
Layer: model.layers.2.self_attn.k_proj          | Rank: 958/1024
Layer: model.layers.2.self_attn.v_proj          | Rank: 998/1024
Layer: model.layers.2.self_attn.o_proj          | Rank: 1024/1024
Layer: model.layers.2.mlp.gate_proj             | Rank: 1024/1024
Layer: model.layers.2.mlp.up_proj               | Rank: 1024/1024
Layer: model.layers.2.mlp.down_proj             | Rank: 1024/1024
Layer: model.layers.3.self_attn.q_proj          | Rank: 1024/1024
Layer: model.layers.3.self_attn.k_proj          | Rank: 979/1024
Layer: model.layers.3.self_attn.v_proj          | Rank: 1003/1024
Layer: model.layers.3.self_attn.o_proj          | Rank: 1024/1024
Layer: model.layers.3.mlp.gate_proj             | Rank: 1024/1024
Layer: model.layers.3.mlp.up_proj               | Rank: 1024/1024
Layer: model.layers.3.mlp.down_proj             | Rank: 1024/1024
Layer: model.layers.4.self_attn.q_proj          | Rank: 1024/1024
Layer: model.layers.4.self_attn.k_proj          | Rank: 973/1024
Layer: model.layers.4.self_attn.v_proj          | Rank: 1006/1024
Layer: model.layers.4.self_attn.o_proj          | Rank: 1024/1024
Layer: model.layers.4.mlp.gate_proj             | Rank: 1024/1024
Layer: model.layers.4.mlp.up_proj               | Rank: 1024/1024
Layer: model.layers.4.mlp.down_proj             | Rank: 1024/1024
Layer: model.layers.5.self_attn.q_proj          | Rank: 1024/1024
Layer: model.layers.5.self_attn.k_proj          | Rank: 982/1024
Layer: model.layers.5.self_attn.v_proj          | Rank: 1002/1024
Layer: model.layers.5.self_attn.o_proj          | Rank: 1024/1024
Layer: model.layers.5.mlp.gate_proj             | Rank: 1024/1024
Layer: model.layers.5.mlp.up_proj               | Rank: 1024/1024
Layer: model.layers.5.mlp.down_proj             | Rank: 1024/1024
Layer: model.layers.6.self_attn.q_proj          | Rank: 1024/1024
Layer: model.layers.6.self_attn.k_proj          | Rank: 959/1024
Layer: model.layers.6.self_attn.v_proj          | Rank: 1003/1024
Layer: model.layers.6.self_attn.o_proj          | Rank: 1024/1024
Layer: model.layers.6.mlp.gate_proj             | Rank: 1024/1024
Layer: model.layers.6.mlp.up_proj               | Rank: 1024/1024
Layer: model.layers.6.mlp.down_proj             | Rank: 1024/1024
Layer: model.layers.7.self_attn.q_proj          | Rank: 1024/1024
Layer: model.layers.7.self_attn.k_proj          | Rank: 979/1024
Layer: model.layers.7.self_attn.v_proj          | Rank: 1003/1024
Layer: model.layers.7.self_attn.o_proj          | Rank: 1024/1024
Layer: model.layers.7.mlp.gate_proj             | Rank: 1024/1024
Layer: model.layers.7.mlp.up_proj               | Rank: 1024/1024
Layer: model.layers.7.mlp.down_proj             | Rank: 1024/1024
Layer: model.layers.8.self_attn.q_proj          | Rank: 1024/1024
Layer: model.layers.8.self_attn.k_proj          | Rank: 934/1024
Layer: model.layers.8.self_attn.v_proj          | Rank: 985/1024
Layer: model.layers.8.self_attn.o_proj          | Rank: 1024/1024
Layer: model.layers.8.mlp.gate_proj             | Rank: 1024/1024
Layer: model.layers.8.mlp.up_proj               | Rank: 1024/1024
Layer: model.layers.8.mlp.down_proj             | Rank: 1024/1024
Layer: model.layers.9.self_attn.q_proj          | Rank: 1024/1024
Layer: model.layers.9.self_attn.k_proj          | Rank: 983/1024
Layer: model.layers.9.self_attn.v_proj          | Rank: 1003/1024
Layer: model.layers.9.self_attn.o_proj          | Rank: 1024/1024
Layer: model.layers.9.mlp.gate_proj             | Rank: 1024/1024
Layer: model.layers.9.mlp.up_proj               | Rank: 1024/1024
Layer: model.layers.9.mlp.down_proj             | Rank: 1024/1024
Layer: model.layers.10.self_attn.q_proj         | Rank: 1024/1024
Layer: model.layers.10.self_attn.k_proj         | Rank: 973/1024
Layer: model.layers.10.self_attn.v_proj         | Rank: 1000/1024
Layer: model.layers.10.self_attn.o_proj         | Rank: 1024/1024
Layer: model.layers.10.mlp.gate_proj            | Rank: 1024/1024
Layer: model.layers.10.mlp.up_proj              | Rank: 1024/1024
Layer: model.layers.10.mlp.down_proj            | Rank: 1024/1024
Layer: model.layers.11.self_attn.q_proj         | Rank: 1024/1024
Layer: model.layers.11.self_attn.k_proj         | Rank: 952/1024
Layer: model.layers.11.self_attn.v_proj         | Rank: 993/1024
Layer: model.layers.11.self_attn.o_proj         | Rank: 1024/1024
Layer: model.layers.11.mlp.gate_proj            | Rank: 1024/1024
Layer: model.layers.11.mlp.up_proj              | Rank: 1024/1024
Layer: model.layers.11.mlp.down_proj            | Rank: 1024/1024
Layer: model.layers.12.self_attn.q_proj         | Rank: 1024/1024
Layer: model.layers.12.self_attn.k_proj         | Rank: 926/1024
Layer: model.layers.12.self_attn.v_proj         | Rank: 970/1024
Layer: model.layers.12.self_attn.o_proj         | Rank: 1024/1024
Layer: model.layers.12.mlp.gate_proj            | Rank: 1024/1024
Layer: model.layers.12.mlp.up_proj              | Rank: 1024/1024
Layer: model.layers.12.mlp.down_proj            | Rank: 1024/1024
Layer: model.layers.13.self_attn.q_proj         | Rank: 1024/1024
Layer: model.layers.13.self_attn.k_proj         | Rank: 934/1024
Layer: model.layers.13.self_attn.v_proj         | Rank: 974/1024
Layer: model.layers.13.self_attn.o_proj         | Rank: 1024/1024
Layer: model.layers.13.mlp.gate_proj            | Rank: 1024/1024
Layer: model.layers.13.mlp.up_proj              | Rank: 1024/1024
Layer: model.layers.13.mlp.down_proj            | Rank: 1024/1024
Layer: model.layers.14.self_attn.q_proj         | Rank: 1024/1024
Layer: model.layers.14.self_attn.k_proj         | Rank: 926/1024
Layer: model.layers.14.self_attn.v_proj         | Rank: 977/1024
Layer: model.layers.14.self_attn.o_proj         | Rank: 1024/1024
Layer: model.layers.14.mlp.gate_proj            | Rank: 1024/1024
Layer: model.layers.14.mlp.up_proj              | Rank: 1024/1024
Layer: model.layers.14.mlp.down_proj            | Rank: 1024/1024
Layer: model.layers.15.self_attn.q_proj         | Rank: 1024/1024
Layer: model.layers.15.self_attn.k_proj         | Rank: 971/1024
Layer: model.layers.15.self_attn.v_proj         | Rank: 997/1024
Layer: model.layers.15.self_attn.o_proj         | Rank: 1024/1024
Layer: model.layers.15.mlp.gate_proj            | Rank: 1024/1024
Layer: model.layers.15.mlp.up_proj              | Rank: 1024/1024
Layer: model.layers.15.mlp.down_proj            | Rank: 1024/1024
Layer: model.layers.16.self_attn.q_proj         | Rank: 1024/1024
Layer: model.layers.16.self_attn.k_proj         | Rank: 966/1024
