Layer: model.layers.0.self_attn.q_proj                    | Rank: 323/960
Layer: model.layers.0.self_attn.k_proj                    | Rank: 191/320
Layer: model.layers.0.self_attn.v_proj                    | Rank: 320/320
Layer: model.layers.0.self_attn.o_proj                    | Rank: 701/960
Layer: model.layers.0.mlp.gate_proj                       | Rank: 960/960
Layer: model.layers.0.mlp.up_proj                         | Rank: 960/960
Layer: model.layers.0.mlp.down_proj                       | Rank: 960/960
Layer: model.layers.1.self_attn.q_proj                    | Rank: 891/960
Layer: model.layers.1.self_attn.k_proj                    | Rank: 320/320
Layer: model.layers.1.self_attn.v_proj                    | Rank: 320/320
Layer: model.layers.1.self_attn.o_proj                    | Rank: 873/960
Layer: model.layers.1.mlp.gate_proj                       | Rank: 960/960
Layer: model.layers.1.mlp.up_proj                         | Rank: 960/960
Layer: model.layers.1.mlp.down_proj                       | Rank: 960/960
Layer: model.layers.2.self_attn.q_proj                    | Rank: 911/960
Layer: model.layers.2.self_attn.k_proj                    | Rank: 320/320
Layer: model.layers.2.self_attn.v_proj                    | Rank: 320/320
Layer: model.layers.2.self_attn.o_proj                    | Rank: 910/960
Layer: model.layers.2.mlp.gate_proj                       | Rank: 960/960
Layer: model.layers.2.mlp.up_proj                         | Rank: 960/960
Layer: model.layers.2.mlp.down_proj                       | Rank: 960/960
Layer: model.layers.3.self_attn.q_proj                    | Rank: 917/960
Layer: model.layers.3.self_attn.k_proj                    | Rank: 320/320
Layer: model.layers.3.self_attn.v_proj                    | Rank: 320/320
Layer: model.layers.3.self_attn.o_proj                    | Rank: 925/960
Layer: model.layers.3.mlp.gate_proj                       | Rank: 960/960
Layer: model.layers.3.mlp.up_proj                         | Rank: 960/960
Layer: model.layers.3.mlp.down_proj                       | Rank: 960/960
Layer: model.layers.4.self_attn.q_proj                    | Rank: 903/960
Layer: model.layers.4.self_attn.k_proj                    | Rank: 320/320
Layer: model.layers.4.self_attn.v_proj                    | Rank: 320/320
Layer: model.layers.4.self_attn.o_proj                    | Rank: 913/960
Layer: model.layers.4.mlp.gate_proj                       | Rank: 960/960
Layer: model.layers.4.mlp.up_proj                         | Rank: 960/960
Layer: model.layers.4.mlp.down_proj                       | Rank: 960/960
Layer: model.layers.5.self_attn.q_proj                    | Rank: 921/960
Layer: model.layers.5.self_attn.k_proj                    | Rank: 320/320
Layer: model.layers.5.self_attn.v_proj                    | Rank: 320/320
Layer: model.layers.5.self_attn.o_proj                    | Rank: 925/960
Layer: model.layers.5.mlp.gate_proj                       | Rank: 960/960
Layer: model.layers.5.mlp.up_proj                         | Rank: 960/960
Layer: model.layers.5.mlp.down_proj                       | Rank: 960/960
Layer: model.layers.6.self_attn.q_proj                    | Rank: 928/960
Layer: model.layers.6.self_attn.k_proj                    | Rank: 320/320
Layer: model.layers.6.self_attn.v_proj                    | Rank: 320/320
Layer: model.layers.6.self_attn.o_proj                    | Rank: 933/960
Layer: model.layers.6.mlp.gate_proj                       | Rank: 960/960
Layer: model.layers.6.mlp.up_proj                         | Rank: 960/960
Layer: model.layers.6.mlp.down_proj                       | Rank: 960/960
Layer: model.layers.7.self_attn.q_proj                    | Rank: 926/960
Layer: model.layers.7.self_attn.k_proj                    | Rank: 320/320
Layer: model.layers.7.self_attn.v_proj                    | Rank: 320/320
Layer: model.layers.7.self_attn.o_proj                    | Rank: 932/960
Layer: model.layers.7.mlp.gate_proj                       | Rank: 960/960
Layer: model.layers.7.mlp.up_proj                         | Rank: 960/960
Layer: model.layers.7.mlp.down_proj                       | Rank: 960/960
Layer: model.layers.8.self_attn.q_proj                    | Rank: 917/960
Layer: model.layers.8.self_attn.k_proj                    | Rank: 320/320
Layer: model.layers.8.self_attn.v_proj                    | Rank: 320/320
Layer: model.layers.8.self_attn.o_proj                    | Rank: 926/960
Layer: model.layers.8.mlp.gate_proj                       | Rank: 960/960
Layer: model.layers.8.mlp.up_proj                         | Rank: 960/960
Layer: model.layers.8.mlp.down_proj                       | Rank: 960/960
Layer: model.layers.9.self_attn.q_proj                    | Rank: 899/960
Layer: model.layers.9.self_attn.k_proj                    | Rank: 320/320
